trial b/dMass b/dEcc 
bmass00_becc00 -1.600000 0.000000
bmass00_becc01 -1.600000 0.010345
bmass00_becc02 -1.600000 0.020690
bmass00_becc03 -1.600000 0.031034
bmass00_becc04 -1.600000 0.041379
bmass00_becc05 -1.600000 0.051724
bmass00_becc06 -1.600000 0.062069
bmass00_becc07 -1.600000 0.072414
bmass00_becc08 -1.600000 0.082759
bmass00_becc09 -1.600000 0.093103
bmass00_becc10 -1.600000 0.103448
bmass00_becc11 -1.600000 0.113793
bmass00_becc12 -1.600000 0.124138
bmass00_becc13 -1.600000 0.134483
bmass00_becc14 -1.600000 0.144828
bmass00_becc15 -1.600000 0.155172
bmass00_becc16 -1.600000 0.165517
bmass00_becc17 -1.600000 0.175862
bmass00_becc18 -1.600000 0.186207
bmass00_becc19 -1.600000 0.196552
bmass00_becc20 -1.600000 0.206897
bmass00_becc21 -1.600000 0.217241
bmass00_becc22 -1.600000 0.227586
bmass00_becc23 -1.600000 0.237931
bmass00_becc24 -1.600000 0.248276
bmass00_becc25 -1.600000 0.258621
bmass00_becc26 -1.600000 0.268966
bmass00_becc27 -1.600000 0.279310
bmass00_becc28 -1.600000 0.289655
bmass00_becc29 -1.600000 0.300000
bmass01_becc00 -1.682759 0.000000
bmass01_becc01 -1.682759 0.010345
bmass01_becc02 -1.682759 0.020690
bmass01_becc03 -1.682759 0.031034
bmass01_becc04 -1.682759 0.041379
bmass01_becc05 -1.682759 0.051724
bmass01_becc06 -1.682759 0.062069
bmass01_becc07 -1.682759 0.072414
bmass01_becc08 -1.682759 0.082759
bmass01_becc09 -1.682759 0.093103
bmass01_becc10 -1.682759 0.103448
bmass01_becc11 -1.682759 0.113793
bmass01_becc12 -1.682759 0.124138
bmass01_becc13 -1.682759 0.134483
bmass01_becc14 -1.682759 0.144828
bmass01_becc15 -1.682759 0.155172
bmass01_becc16 -1.682759 0.165517
bmass01_becc17 -1.682759 0.175862
bmass01_becc18 -1.682759 0.186207
bmass01_becc19 -1.682759 0.196552
bmass01_becc20 -1.682759 0.206897
bmass01_becc21 -1.682759 0.217241
bmass01_becc22 -1.682759 0.227586
bmass01_becc23 -1.682759 0.237931
bmass01_becc24 -1.682759 0.248276
bmass01_becc25 -1.682759 0.258621
bmass01_becc26 -1.682759 0.268966
bmass01_becc27 -1.682759 0.279310
bmass01_becc28 -1.682759 0.289655
bmass01_becc29 -1.682759 0.300000
bmass02_becc00 -1.765517 0.000000
