trial c/dMass c/dEcc 
bmass00_becc00 -0.900000 0.000000
bmass00_becc01 -0.900000 0.014286
bmass00_becc02 -0.900000 0.028571
bmass00_becc03 -0.900000 0.042857
bmass00_becc04 -0.900000 0.057143
bmass00_becc05 -0.900000 0.071429
bmass00_becc06 -0.900000 0.085714
bmass00_becc07 -0.900000 0.100000
bmass00_becc08 -0.900000 0.114286
bmass00_becc09 -0.900000 0.128571
bmass00_becc10 -0.900000 0.142857
bmass00_becc11 -0.900000 0.157143
bmass00_becc12 -0.900000 0.171429
bmass00_becc13 -0.900000 0.185714
bmass00_becc14 -0.900000 0.200000
bmass00_becc15 -0.900000 0.214286
bmass00_becc16 -0.900000 0.228571
bmass00_becc17 -0.900000 0.242857
bmass00_becc18 -0.900000 0.257143
bmass00_becc19 -0.900000 0.271429
bmass00_becc20 -0.900000 0.285714
bmass00_becc21 -0.900000 0.300000
bmass00_becc22 -0.900000 0.314286
bmass00_becc23 -0.900000 0.328571
bmass00_becc24 -0.900000 0.342857
bmass00_becc25 -0.900000 0.357143
bmass00_becc26 -0.900000 0.371429
bmass00_becc27 -0.900000 0.385714
bmass00_becc28 -0.900000 0.400000
bmass00_becc29 -0.900000 0.414286
bmass00_becc30 -0.900000 0.428571
bmass00_becc31 -0.900000 0.442857
bmass00_becc32 -0.900000 0.457143
bmass00_becc33 -0.900000 0.471429
bmass00_becc34 -0.900000 0.485714
bmass00_becc35 -0.900000 0.500000
bmass00_becc36 -0.900000 0.514286
bmass00_becc37 -0.900000 0.528571
bmass00_becc38 -0.900000 0.542857
bmass00_becc39 -0.900000 0.557143
bmass00_becc40 -0.900000 0.571429
bmass00_becc41 -0.900000 0.585714
bmass00_becc42 -0.900000 0.600000
bmass00_becc43 -0.900000 0.614286
bmass00_becc44 -0.900000 0.628571
bmass00_becc45 -0.900000 0.642857
bmass00_becc46 -0.900000 0.657143
bmass00_becc47 -0.900000 0.671429
bmass00_becc48 -0.900000 0.685714
bmass00_becc49 -0.900000 0.700000
bmass01_becc00 -1.006122 0.000000
bmass01_becc01 -1.006122 0.014286
bmass01_becc02 -1.006122 0.028571
bmass01_becc03 -1.006122 0.042857
bmass01_becc04 -1.006122 0.057143
bmass01_becc05 -1.006122 0.071429
bmass01_becc06 -1.006122 0.085714
bmass01_becc07 -1.006122 0.100000
bmass01_becc08 -1.006122 0.114286
bmass01_becc09 -1.006122 0.128571
bmass01_becc10 -1.006122 0.142857
bmass01_becc11 -1.006122 0.157143
bmass01_becc12 -1.006122 0.171429
bmass01_becc13 -1.006122 0.185714
bmass01_becc14 -1.006122 0.200000
bmass01_becc15 -1.006122 0.214286
bmass01_becc16 -1.006122 0.228571
bmass01_becc17 -1.006122 0.242857
bmass01_becc18 -1.006122 0.257143
bmass01_becc19 -1.006122 0.271429
bmass01_becc20 -1.006122 0.285714
bmass01_becc21 -1.006122 0.300000
bmass01_becc22 -1.006122 0.314286
bmass01_becc23 -1.006122 0.328571
bmass01_becc24 -1.006122 0.342857
bmass01_becc25 -1.006122 0.357143
bmass01_becc26 -1.006122 0.371429
bmass01_becc27 -1.006122 0.385714
bmass01_becc28 -1.006122 0.400000
bmass01_becc29 -1.006122 0.414286
bmass01_becc30 -1.006122 0.428571
bmass01_becc31 -1.006122 0.442857
bmass01_becc32 -1.006122 0.457143
bmass01_becc33 -1.006122 0.471429
bmass01_becc34 -1.006122 0.485714
bmass01_becc35 -1.006122 0.500000
bmass01_becc36 -1.006122 0.514286
bmass01_becc37 -1.006122 0.528571
bmass01_becc38 -1.006122 0.542857
bmass01_becc39 -1.006122 0.557143
bmass01_becc40 -1.006122 0.571429
bmass01_becc41 -1.006122 0.585714
bmass01_becc42 -1.006122 0.600000
bmass01_becc43 -1.006122 0.614286
bmass01_becc44 -1.006122 0.628571
bmass01_becc45 -1.006122 0.642857
bmass01_becc46 -1.006122 0.657143
bmass01_becc47 -1.006122 0.671429
bmass01_becc48 -1.006122 0.685714
bmass01_becc49 -1.006122 0.700000
bmass02_becc00 -1.112245 0.000000
bmass02_becc01 -1.112245 0.014286
bmass02_becc02 -1.112245 0.028571
bmass02_becc03 -1.112245 0.042857
bmass02_becc04 -1.112245 0.057143
bmass02_becc05 -1.112245 0.071429
bmass02_becc06 -1.112245 0.085714
bmass02_becc07 -1.112245 0.100000
bmass02_becc08 -1.112245 0.114286
bmass02_becc09 -1.112245 0.128571
bmass02_becc10 -1.112245 0.142857
bmass02_becc11 -1.112245 0.157143
bmass02_becc12 -1.112245 0.171429
bmass02_becc13 -1.112245 0.185714
bmass02_becc14 -1.112245 0.200000
bmass02_becc15 -1.112245 0.214286
bmass02_becc16 -1.112245 0.228571
bmass02_becc17 -1.112245 0.242857
bmass02_becc18 -1.112245 0.257143
bmass02_becc19 -1.112245 0.271429
bmass02_becc20 -1.112245 0.285714
bmass02_becc21 -1.112245 0.300000
bmass02_becc22 -1.112245 0.314286
bmass02_becc23 -1.112245 0.328571
bmass02_becc24 -1.112245 0.342857
bmass02_becc25 -1.112245 0.357143
bmass02_becc26 -1.112245 0.371429
bmass02_becc27 -1.112245 0.385714
bmass02_becc28 -1.112245 0.400000
bmass02_becc29 -1.112245 0.414286
bmass02_becc30 -1.112245 0.428571
bmass02_becc31 -1.112245 0.442857
bmass02_becc32 -1.112245 0.457143
bmass02_becc33 -1.112245 0.471429
bmass02_becc34 -1.112245 0.485714
